Designator,Mid X,Mid Y,Rotation,Layer
C1,119.663248,-80.376618,0.0,top
C10,162.887795,-92.774484,0.0,top
C11,143.91974,-80.825741,180.0,top
C12,119.543948,-84.25897,180.0,top
C2,143.759577,-77.17377,0.0,top
C3,138.876885,-89.284068,180.0,top
C4,123.985566,-101.838462,180.0,top
C5,162.796068,-89.034684,180.0,top
C6,149.922699,-97.228832,180.0,top
C7,124.565735,-98.469701,0.0,top
C8,138.659305,-93.098612,0.0,top
C9,149.826704,-102.132265,0.0,top
D1,133.87302,-117.918414,0.0,top
D3,124.786565,-119.371822,270.0,top
D4,140.71525,-66.921238,180.0,top
D5,164.994739,-111.946612,0.0,top
D6,162.826893,-116.42327,180.0,top
D7,147.892951,-66.785107,0.0,top
J2,144.478339,-140.200391,90.0,top
Q1,127.860663,-83.566734,0.0,top
Q2,128.29021,-89.212381,270.0,top
Q3,137.227818,-114.318972,0.0,top
Q4,125.15584,-107.338965,0.0,top
Q5,165.910206,-108.192577,0.0,top
Q6,145.90323,-115.177929,180.0,top
R1,121.054567,-88.409379,0.0,top
R10,158.790669,-99.866266,270.0,top
R11,155.971884,-100.0066,90.0,top
R12,144.877384,-100.607447,90.0,top
R2,112.956177,-84.286213,90.0,top
R3,138.882729,-84.943268,0.0,top
R4,144.305311,-73.669086,0.0,top
R5,142.310864,-99.96321,270.0,top
R6,135.393866,-99.918601,270.0,top
R7,132.752187,-99.157942,270.0,top
R8,126.766207,-95.476645,180.0,top
R9,166.612176,-99.858887,270.0,top
SW1,134.743383,-123.781141,0.0,top
SW2,153.622595,-123.413016,0.0,top
SW3,134.559321,-133.352384,0.0,top
SW4,153.524154,-132.984259,0.0,top
